species,reason
rat,Its natural characteristics are like my own.
wolf,Spirituality
wolf,"The wolf has always been my favorite animal. (Don't worry, not a wolfaboo! :D)
Idk really, I've just had my fursona for basically years and years. Before I had any knowledge of what a furry even was. Probably since age 6.  
Just fun! And I love my fursona, That's all there is too it! <3"
tiger,They look fascinating and beautiful
wolf,"I actually just think that wolves are cute as well as cool. They appeal to me a great amount. At least, a lot more than any other animal."
riverotter,Personality and lore associated with the otter fits my personality and my chosen presentation.
redfox,"Because they're so, oberly cute, duh."
wolf,I find them interesting.
germanshepherd,I'm sexually attracted to canines and I base my fursona and character as a hybrid of my beautiful Shepherd and myself.
wolf,"The reason I identify with wolves is how I react in situations, I feel as though the way I act, as myself, are a lot how wolves react. I travel in a small pack of friends, its hard to gain our trust, we care and help eachother out, we're lovable but fierce.
As a child, I lived near the woods, and everynight I'd fall asleep listening to wolves howling to the moon. I think just the chills I got down my spine everytime I heard wolves howl is what really attracted me to taking a wolf as my character."
lizard,"Probably, but I don't know what it is..."
hyaena,"I have a very strange laugh, which I am often ridiculed for outside of the furry fandom.
Since Hyenas are also known for their laugh, I connected with them.
They also have a strange mane of hair, and my hair is all over the place."
wolf,Share similar social traits and I think they look nice.
dragon,I feel as if i am one biologicly
otherfeline,"I've always likes cats as pets, seems right to choose so."
otherdog,"No real reason, I just have an interest."
husky,"I've always adored wolves, when i was young, i wished so much to have one knowing honestly it would be impossible to keep. On my 8th birthday my parents got me a Siberian Husky and ""Hunter"" has been apart of my life ever since."
husky,the wolf is my spirit animal and the husky is my favorite domestic k9
husky,"Huskies are both dogs playful, yet closer to wolves hard working "
domesticcat,"The Warriors book series, mostly. My character isn't of that world or culture, but it did confirm my love for cats. 

Also, real cats are snuggly, fun to play with, and I'm a fan of the concept of purring."
dragon,"I believe it accurately matches my personality. Dragons are strong, but don't have many friends. They are extremely loyal, and will always defend what is important to them. And they like shiny stuff. :D"
wolf,The wild freedom it represents
raptor,"The owl is my current spiritual guide.  I have always shared a special connection with owls, alongside my admiration for them."
domesticcat,"Fan of cats, anthropomorphic and otherwise; consider the facet of my personality that most closely related to being a furry to be like a cat."
othermarsupial,Yes. Before I was a furry I did my own personal research on it. It seemed to fit my personality and my knowledge on the animal makes me identify with it more.
raccoon,"Have no idea. I was a Mongoose at one point and then someone told me how much I resembled a Raccoon, and ever since then the image has just stuck."
skunk,I'm messy
raptor,Badgers are awesome and so are Hawks.
mouse,It was mostly chance I fell into those two species but I've grown to like them a lot.
wolf,the way I behave like as in process things I see and under stand them  
kitsune,Always had some strong affinity for dolphins. Like a spirit animal or totem.
wolf,No.
bat,"Most of all I wanted something that very few people were used to seeing in the fandom,  also my fursona had to be emotional and not a constant. Very fluid in expressions. So I took an exceptionally long time in trying to decide but in the end I like the creepy cuteness of chiroptera"
domesticcat,"After years of analyzing my personality and behavior, i realized it resembled cats in several aspects - and some friends agreed with it. Also, I love cats, both the real and the anthropomorphic ones."
dragon,I just like them a lot :>
