Species,Reason,Character status
other,they are interesting and I wish I could be it.,Primary character
snowleopard,I think they're absolutely beautiful,Primary character
redpanda,Tis cute,Primary character
"redfox, kitsune, otherfox",I have always loved foxes and feel that I have the cunning qualities associated with foxes.,Primary character
wolf,loyalty and above all reason care,Primary character
redpanda,Made into a fursuit and is how people know me,Primary character
wolf,I identify closely with the wolf,Secondary Character
deer,Developing this sona to balance mine out and make them complete.,Secondary Character
other,it simply struck me as aesthetically pleasing,Primary character
other,Ferrets are unappreciated in the fandom.,Secondary Character
mouse,Mice are adorable,Primary character
tiger,"This character was always with me, way before I knew about the fandom. So the choice was obvious.",Primary character
,I liked it? no real reason,Secondary Character
wolf,Felt most like someone i would be ,Secondary Character
germanshepherd,I've always loved German Shepherds.,Primary character
,Because bees are nice.,Primary character
cougar,"I'm an outdoor ed major so, there this creature of fear and beauty. I find it easy to identify with and ""Humanize"" ",Primary character
panther,It stood out from the other species and I'm a fan of big cats. ,Primary character
"fennec, husky",The spices Most represents traits i have as a person,Primary character
redfox,"I like the style, and the stereotype is very fitting. ",Primary character
otherungulate,MLP fursona,Secondary Character
otherdog,"Golden Retriever-well meaning, affectionate, not always the brightest",Primary character
"wolf, dragon","I'm more of the silent and darker type of person, non talkative and smart. I feel like a dragon would reflect upon that the best compared to the rest. I am also mixed with a wolf, though, as I still like to have fun and am adventurous when I can be. I'm a silent surprise, waiting to happen.",Primary character
redfox,Generally characterized as a personality I took affinity to.,Primary character
lion,"I grew up loving cats, and I also had a deep love for ""The Lion King"". This carried over into my fursona and I love her to bits!",Primary character
redfox,Adorable,Deprecated character
husky,Adorable,Primary character
otherfeline,"Half furry, as a respect to my furry internet friends. Now it's my online character",Primary character
pandabear,Because i feel the most similarity between myself and panda's,Primary character
"riverotter, seaotter","At the time I was sad, and just the idea of being an otter and being happy was appealing; with neon orange and smiles and sunshine. But, now that I've gone past that, I feel I have grown and am happy where I am.",Primary character
dragon,Fan of fantasy and dragons in particular,Primary character
dragon,Femboy Dragon is basically me irl,Primary character
"domesticcat, other",It's me :3,Primary character
hyaena,"Scavenger, survivor",Primary character
wolf,"First fursona, wolf. ",Deprecated character
deer,Help identify with a potential mate,Deprecated character
collie,Cute asf,Primary character
redfox,I just really lime foxes and don't care to stand out for the sake of being different.,Primary character
domesticcat,"I've always loved cats, all my life, and I also have two now, although I had more in the past. I get lazy, enjoy yawning and stretching, and leaving my hair all over the place. I often reach over to grab stuff and knock it off the side. I accidentally claw my significant other sometimes. I like to sleep a lot and don't like being moved and I like being comfy. I'm also really curious and ask lots of annoying questions. Also did I mention I really love cats.",Primary character
tiger,Because.. I did.,Primary character
husky,"I've always identified with wolves, but to me, they represent a wildness and chaos I don't have in myself, that I admire, so I picked the more domesticated form :3",Primary character
